district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,161287.0,161380.0,752551.0,GOP,-93.0,-0.028822284274499715
1,257346.0,126033.0,822140.0,Dem,131313.0,34.25148482311238
2,136738.0,187055.0,749880.0,GOP,-50317.0,-15.539866519659165
3,205692.0,149324.0,751757.0,Dem,56368.0,15.877594249273272
4,142174.0,197898.0,752985.0,GOP,-55724.0,-16.38594180055988
5,94482.0,212824.0,752525.0,GOP,-118342.0,-38.5094986755872
6,247268.0,84495.0,752793.0,Dem,162773.0,49.06303596241896
7,244372.0,55829.0,847005.0,Dem,188543.0,62.80558692342797
8,166660.0,37553.0,752156.0,Dem,129107.0,63.22173416971495
9,187620.0,92362.0,754534.0,Dem,95258.0,34.0229014722375
10,119903.0,186644.0,727759.0,GOP,-66741.0,-21.77186532570862
11,125215.0,224103.0,751749.0,GOP,-98888.0,-28.30887615296091
12,183453.0,153734.0,752060.0,Dem,29719.0,8.813803616390905
13,69044.0,226472.0,630164.0,GOP,-157428.0,-53.27224245049338
14,207407.0,142009.0,755161.0,Dem,65398.0,18.71637246147858
15,203090.0,42307.0,753591.0,Dem,160783.0,65.51954587871897
16,77418.0,237362.0,751976.0,GOP,-159944.0,-50.81136031514073
