unit_id,district
BOONE-:-FLORA 1-(CONG-11),3
BOONE-:-FLORA 1-(CONG-16),0
BUREAU-:-ARISPIE-(CONG-14),0
BUREAU-:-ARISPIE-(CONG-16),0
BUREAU-:-PRINCETON 6-(CONG-14),0
BUREAU-:-PRINCETON 6-(CONG-16),0
BUREAU-:-SELBY 2-(CONG-14),2
BUREAU-:-SELBY 2-(CONG-16),0
CHAMPAIGN-:-HENSLEY-(CONG-13),4
CHAMPAIGN-:-HENSLEY-(CONG-15),0
CHAMPAIGN-:-RANTOUL 4-(CONG-02),0
CHAMPAIGN-:-RANTOUL 4-(CONG-15),0
CHAMPAIGN-:-SOMER-(CONG-13),5
CHAMPAIGN-:-SOMER-(CONG-15),0
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-16),0
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-17),6
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-16),0
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-17),7
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-16),0
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-17),8
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-16),0
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-17),0
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-16),0
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-17),9
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-05),10
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-07),11
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-05),12
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-07),13
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-01),14
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-01),16
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-07),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-02),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-02),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-07),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-01),14
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-02),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-01),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-02),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-01),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-02),15
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-01),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-02),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 10-(CONG-01),9
CITY OF CHICAGO-:-WARD 07 PRECINCT 10-(CONG-02),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 12-(CONG-01),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 12-(CONG-02),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 13-(CONG-01),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 13-(CONG-02),7
CITY OF CHICAGO-:-WARD 07 PRECINCT 16-(CONG-01),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 16-(CONG-02),14
CITY OF CHICAGO-:-WARD 07 PRECINCT 17-(CONG-01),3
CITY OF CHICAGO-:-WARD 07 PRECINCT 17-(CONG-02),14
CITY OF CHICAGO-:-WARD 09 PRECINCT 08-(CONG-01),14
CITY OF CHICAGO-:-WARD 09 PRECINCT 08-(CONG-02),14
CITY OF CHICAGO-:-WARD 14 PRECINCT 01-(CONG-04),7
CITY OF CHICAGO-:-WARD 14 PRECINCT 01-(CONG-07),16
CITY OF CHICAGO-:-WARD 15 PRECINCT 10-(CONG-04),9
CITY OF CHICAGO-:-WARD 15 PRECINCT 10-(CONG-07),9
CITY OF CHICAGO-:-WARD 16 PRECINCT 07-(CONG-04),16
CITY OF CHICAGO-:-WARD 16 PRECINCT 07-(CONG-07),16
CITY OF CHICAGO-:-WARD 16 PRECINCT 20-(CONG-01),16
CITY OF CHICAGO-:-WARD 16 PRECINCT 20-(CONG-07),9
CITY OF CHICAGO-:-WARD 16 PRECINCT 23-(CONG-04),16
CITY OF CHICAGO-:-WARD 16 PRECINCT 23-(CONG-07),16
CITY OF CHICAGO-:-WARD 17 PRECINCT 02-(CONG-01),16
CITY OF CHICAGO-:-WARD 17 PRECINCT 02-(CONG-07),7
CITY OF CHICAGO-:-WARD 17 PRECINCT 14-(CONG-01),14
CITY OF CHICAGO-:-WARD 17 PRECINCT 14-(CONG-07),9
CITY OF CHICAGO-:-WARD 18 PRECINCT 18-(CONG-01),16
CITY OF CHICAGO-:-WARD 18 PRECINCT 18-(CONG-04),16
CITY OF CHICAGO-:-WARD 19 PRECINCT 10-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 10-(CONG-06),7
CITY OF CHICAGO-:-WARD 19 PRECINCT 11-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 11-(CONG-06),16
CITY OF CHICAGO-:-WARD 19 PRECINCT 19-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 19-(CONG-06),7
CITY OF CHICAGO-:-WARD 19 PRECINCT 25-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 25-(CONG-06),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 26-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 26-(CONG-06),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 31-(CONG-01),7
CITY OF CHICAGO-:-WARD 19 PRECINCT 31-(CONG-06),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 36-(CONG-01),14
CITY OF CHICAGO-:-WARD 19 PRECINCT 36-(CONG-06),14
