district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,161287.0,161380.0,752551.0,GOP,-93.0,-0.028822284274499715
1,259388.0,125023.0,824477.0,Dem,134365.0,34.95347427623039
2,141005.0,186565.0,753396.0,GOP,-45560.0,-13.90847757731172
3,208446.0,148442.0,753723.0,Dem,60004.0,16.81311784089126
4,142438.0,197296.0,753240.0,GOP,-54858.0,-16.147338800355573
5,94482.0,212951.0,752784.0,GOP,-118469.0,-38.53490028721705
6,247197.0,84508.0,751893.0,Dem,162689.0,49.046291132180706
7,237175.0,52323.0,821670.0,Dem,184852.0,63.852600017962125
8,168103.0,37915.0,758351.0,Dem,130188.0,63.192536574474076
9,187472.0,93300.0,753805.0,Dem,94172.0,33.540381519524736
10,123520.0,187567.0,740538.0,GOP,-64047.0,-20.588131294461036
11,125215.0,224586.0,753143.0,GOP,-99371.0,-28.407866186774765
12,174023.0,156582.0,752227.0,Dem,17441.0,5.27547980218085
13,69044.0,226472.0,630164.0,GOP,-157428.0,-53.27224245049338
14,207727.0,141538.0,751461.0,Dem,66189.0,18.95093983078751
15,205520.0,42589.0,754803.0,Dem,162931.0,65.66912123300645
16,77127.0,238347.0,752560.0,GOP,-161220.0,-51.10405294889595
