district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,145225.0,211640.0,776803.0,GOP,-66415.0,-18.610679108346293
1,240564.0,41720.0,789329.0,Dem,198844.0,70.44111603916623
2,180921.0,178214.0,776535.0,Dem,2707.0,0.7537555515335459
3,161188.0,161116.0,765487.0,Dem,72.0,0.022339158061953933
4,135622.0,48548.0,776700.0,Dem,87074.0,47.279144268882014
5,187013.0,25368.0,771101.0,Dem,161645.0,76.11085737424722
6,172644.0,172400.0,776467.0,Dem,244.0,0.07071561887759242
7,176453.0,176414.0,791012.0,Dem,39.0,0.011052322829848074
8,162400.0,105247.0,798821.0,Dem,57153.0,21.353872825026997
9,154759.0,118414.0,775949.0,Dem,36345.0,13.304755594440154
10,160286.0,159988.0,722060.0,Dem,298.0,0.0930453299362421
11,149428.0,229172.0,799724.0,GOP,-79744.0,-21.06286318013735
12,149004.0,36715.0,779004.0,Dem,112289.0,60.46177289345732
13,181345.0,165985.0,747285.0,Dem,15360.0,4.422307315809173
14,161047.0,77491.0,776895.0,Dem,83556.0,35.02838122227905
15,168375.0,63145.0,776203.0,Dem,105230.0,45.45179682100898
16,149683.0,149276.0,776047.0,Dem,407.0,0.13613906923691876
17,192542.0,192423.0,789118.0,Dem,119.0,0.030911901081916538
18,224908.0,63730.0,777932.0,Dem,161178.0,55.84088027217483
19,222653.0,188062.0,778384.0,Dem,34591.0,8.42214187453587
20,110241.0,68883.0,762002.0,Dem,41358.0,23.089033295370804
21,203589.0,154997.0,775888.0,Dem,48592.0,13.551003106646661
22,183683.0,155466.0,784419.0,Dem,28217.0,8.319941972407408
23,189827.0,189173.0,776543.0,Dem,654.0,0.17255936675461742
24,220673.0,167981.0,805608.0,Dem,52692.0,13.557560194929167
25,142804.0,63891.0,775766.0,Dem,78913.0,38.17847553158035
