district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,31348.0,133597.0,382726.0,GOP,-102249.0,-61.98975416047774
1,76779.0,417693.0,1146483.0,GOP,-340914.0,-68.94505654516333
2,249831.0,412299.0,1486320.0,GOP,-162468.0,-24.537175479135517
3,130908.0,96489.0,423522.0,Dem,34419.0,15.136083589493266
4,163988.0,242690.0,905616.0,GOP,-78702.0,-19.352411490171587
5,64275.0,66003.0,248353.0,GOP,-1728.0,-1.3263943259798276
6,306289.0,213812.0,1197713.0,Dem,92477.0,17.780584924851134
7,114201.0,76350.0,466418.0,Dem,37851.0,19.863973424437553
8,23362.0,23247.0,104877.0,Dem,115.0,0.24673346349417496
9,38671.0,45178.0,180219.0,GOP,-6507.0,-7.760378776133287
10,266130.0,109827.0,897885.0,Dem,156303.0,41.57470136212386
11,211199.0,70594.0,892279.0,Dem,140605.0,49.89655527284212
12,294828.0,127771.0,894553.0,Dem,167057.0,39.53085549184925
13,245129.0,117174.0,952145.0,Dem,127955.0,35.31712406466411
14,343999.0,91829.0,1125129.0,Dem,252170.0,57.85998146057619
15,55540.0,163073.0,474391.0,GOP,-107533.0,-49.18874906798772
16,212692.0,109758.0,1032157.0,Dem,102934.0,31.92246859978291
