district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,27368.0,312605.0,790659.0,GOP,-285237.0,-83.89989793307116
1,31304.0,289596.0,716284.0,GOP,-258292.0,-80.48987223434092
2,94435.0,250183.0,716882.0,GOP,-155748.0,-45.1943891497252
3,205177.0,148087.0,713700.0,Dem,57090.0,16.160718329634495
4,147129.0,211487.0,790794.0,GOP,-64358.0,-17.946215450509737
5,173056.0,141480.0,683615.0,Dem,31576.0,10.038914464481014
6,194687.0,124058.0,791186.0,Dem,70629.0,22.15846523082715
7,190573.0,123465.0,790385.0,Dem,67108.0,21.369388417962156
8,180849.0,117589.0,677881.0,Dem,63260.0,21.19703254947426
9,198335.0,135830.0,708531.0,Dem,62505.0,18.70483144554337
10,228922.0,90254.0,791223.0,Dem,138668.0,43.44562247788054
11,180445.0,59551.0,790581.0,Dem,120894.0,50.37333955565926
12,265410.0,107782.0,790528.0,Dem,157628.0,42.237775729383266
13,197531.0,92102.0,790513.0,Dem,105429.0,36.40089354458919
14,227124.0,65092.0,790388.0,Dem,162032.0,55.449393599255345
15,132659.0,171640.0,686936.0,GOP,-38981.0,-12.8100979628589
16,154165.0,76583.0,790700.0,Dem,77582.0,33.62195988697626
