district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,262437.0,47789.0,873518.0,Dem,214648.0,69.19084796245318
1,218678.0,149738.0,889193.0,Dem,68940.0,18.712542343437853
2,392842.0,119471.0,1104211.0,Dem,273371.0,53.36015287529303
3,248980.0,121705.0,1116899.0,Dem,127275.0,34.33508234754576
4,213268.0,233549.0,1099846.0,GOP,-20281.0,-4.538994711481434
5,210549.0,99426.0,747296.0,Dem,111123.0,35.8490200822647
6,30535.0,117930.0,366123.0,GOP,-87395.0,-58.86572592867005
7,237608.0,233453.0,1024507.0,Dem,4155.0,0.8820513691432744
8,97977.0,127911.0,497894.0,GOP,-29934.0,-13.251699957501062
9,84268.0,32387.0,344995.0,Dem,51881.0,44.473875959024475
10,195995.0,192963.0,1000198.0,Dem,3032.0,0.7795186112639411
11,106471.0,213746.0,701664.0,GOP,-107275.0,-33.5007198243691
12,72947.0,155461.0,519460.0,GOP,-82514.0,-36.12570487898848
13,55626.0,257013.0,699526.0,GOP,-201387.0,-64.4151881243223
14,33851.0,90737.0,287590.0,GOP,-56886.0,-45.65929302982631
15,210729.0,182103.0,893679.0,Dem,28626.0,7.2870845552297165
16,156408.0,142002.0,644187.0,Dem,14406.0,4.827586206896552
