district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,229241.0,38571.0,790036.0,Dem,190670.0,71.19546547578152
1,199119.0,65685.0,717094.0,Dem,133434.0,50.38972220963429
2,164831.0,92570.0,636957.0,Dem,72261.0,28.07331750847899
3,154917.0,143756.0,790983.0,Dem,11161.0,3.736862722777084
4,201775.0,115627.0,790691.0,Dem,86148.0,27.141605913006217
5,187264.0,40645.0,791141.0,Dem,146619.0,64.33225541773253
6,172234.0,158417.0,790763.0,Dem,13817.0,4.178726209810344
7,175100.0,185022.0,791094.0,GOP,-9922.0,-2.755177412099233
8,162016.0,200341.0,755883.0,GOP,-38325.0,-10.576586073954692
9,149240.0,183235.0,715773.0,GOP,-33995.0,-10.224828934506354
10,135807.0,186749.0,716645.0,GOP,-50942.0,-15.79322660251243
11,139536.0,178246.0,715720.0,GOP,-38710.0,-12.18130668193919
12,182562.0,159816.0,789836.0,Dem,22746.0,6.643534339239086
13,150253.0,229780.0,790709.0,GOP,-79527.0,-20.926340607263054
14,122443.0,213313.0,715033.0,GOP,-90870.0,-27.064296691645122
15,195024.0,113079.0,790925.0,Dem,81945.0,26.596625154574934
16,107807.0,212532.0,721503.0,GOP,-104725.0,-32.6919294871995
