district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,183654.0,143117.0,753898.0,Dem,40537.0,12.405323605827935
1,234440.0,116124.0,756236.0,Dem,118316.0,33.750185415501875
2,125732.0,207983.0,754949.0,GOP,-82251.0,-24.64707909443687
3,204248.0,149139.0,755193.0,Dem,55109.0,15.594518191104937
4,143728.0,197341.0,753564.0,GOP,-53613.0,-15.719106691021464
5,94725.0,213957.0,752888.0,GOP,-119232.0,-38.6261589597061
6,247810.0,85856.0,753630.0,Dem,161954.0,48.537759316202425
7,243858.0,56645.0,852630.0,Dem,187213.0,62.299877205884805
8,168103.0,37915.0,758351.0,Dem,130188.0,63.192536574474076
9,182888.0,93842.0,754943.0,Dem,89046.0,32.17793517146677
10,129924.0,195738.0,754516.0,GOP,-65814.0,-20.20929675553181
11,124856.0,224880.0,751749.0,GOP,-100024.0,-28.599858178740533
12,186509.0,144556.0,753613.0,Dem,41953.0,12.6721338709921
13,69742.0,228374.0,640172.0,GOP,-158632.0,-53.21150156314991
14,208884.0,140772.0,753373.0,Dem,68112.0,19.479717207769923
15,203812.0,42495.0,756593.0,Dem,161317.0,65.4942815267126
16,76256.0,238650.0,754488.0,GOP,-162394.0,-51.569039649927284
