district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,200820.0,148182.0,791247.0,Dem,52638.0,15.082435057678753
1,227101.0,125791.0,791240.0,Dem,101310.0,28.708500051007107
2,131854.0,215186.0,791216.0,GOP,-83332.0,-24.012217611802676
3,215262.0,159630.0,791150.0,Dem,55632.0,14.839473768445313
4,145433.0,211176.0,790806.0,GOP,-65743.0,-18.435597531189625
5,97895.0,228561.0,791232.0,GOP,-130666.0,-40.02560835150832
6,251603.0,86623.0,791228.0,Dem,164980.0,48.77803598777149
7,215355.0,61887.0,791222.0,Dem,153468.0,55.35524920466596
8,211856.0,52756.0,791120.0,Dem,159100.0,60.12576905053437
9,205734.0,105481.0,791123.0,Dem,100253.0,32.213421589576335
10,67010.0,116510.0,411236.0,GOP,-49500.0,-26.972537053182215
11,127615.0,242068.0,791198.0,GOP,-114453.0,-30.95976823386523
12,180326.0,137102.0,791253.0,Dem,43224.0,13.616946205123682
13,60571.0,186537.0,532121.0,GOP,-125966.0,-50.97609142561147
14,205390.0,149217.0,791229.0,Dem,56173.0,15.840916845973146
15,202918.0,43516.0,791043.0,Dem,159402.0,64.68344465455253
16,82426.0,247161.0,791122.0,GOP,-164735.0,-49.98225051352147
