district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,177935.0,140949.0,753664.0,Dem,36986.0,11.598575030418584
1,237861.0,116961.0,757293.0,Dem,120900.0,34.073422730270394
2,126139.0,208927.0,754187.0,GOP,-82788.0,-24.70796798242734
3,203052.0,147958.0,753701.0,Dem,55094.0,15.69584912110766
4,141803.0,200478.0,756063.0,GOP,-58675.0,-17.142347953874157
5,94985.0,214296.0,753444.0,GOP,-119311.0,-38.57689285795119
6,248707.0,84905.0,753675.0,Dem,163802.0,49.09955277388104
7,242564.0,56553.0,853826.0,Dem,186011.0,62.18670286209076
8,168103.0,37915.0,758351.0,Dem,130188.0,63.192536574474076
9,183947.0,93173.0,755506.0,Dem,90774.0,32.75620669745958
10,128311.0,194323.0,753861.0,GOP,-66012.0,-20.46033586044868
11,124517.0,225566.0,752865.0,GOP,-101049.0,-28.864297895070596
12,188791.0,148018.0,753714.0,Dem,40773.0,12.105674135786158
13,69742.0,227884.0,638880.0,GOP,-158142.0,-53.13447077876261
14,208580.0,140630.0,752973.0,Dem,67950.0,19.45820566421351
15,205368.0,42467.0,755601.0,Dem,162901.0,65.72961849617688
16,78764.0,236381.0,753182.0,GOP,-157617.0,-50.01412048422155
