district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,162076.0,158560.0,753673.0,Dem,3516.0,1.0965705660000749
1,252790.0,122361.0,797083.0,Dem,130429.0,34.7670671276366
2,139711.0,190606.0,753766.0,GOP,-50895.0,-15.4079263253178
3,204166.0,150329.0,754757.0,Dem,53837.0,15.18695609246957
4,170862.0,170916.0,753586.0,GOP,-54.0,-0.01579972964907045
5,94666.0,214499.0,754052.0,GOP,-119833.0,-38.760208949913476
6,245346.0,84979.0,757858.0,Dem,160367.0,48.54824793763717
7,234467.0,54126.0,810129.0,Dem,180341.0,62.4897346782493
8,168103.0,37915.0,758351.0,Dem,130188.0,63.192536574474076
9,182631.0,93244.0,756089.0,Dem,89387.0,32.40126869053013
10,124073.0,185626.0,753400.0,GOP,-61553.0,-19.875104536985912
11,125215.0,224586.0,753143.0,GOP,-99371.0,-28.407866186774765
12,192113.0,155787.0,753619.0,Dem,36326.0,10.441506179936763
13,69044.0,228303.0,637345.0,GOP,-159259.0,-53.559982108445695
14,180566.0,168214.0,754283.0,Dem,12352.0,3.541487470611847
15,203812.0,42495.0,756593.0,Dem,161317.0,65.4942815267126
16,79528.0,234838.0,753059.0,GOP,-155310.0,-49.40419765496269
